Course Name,Course Info
111 [QUAN]  Introduction to Computer Programming ,"3 (2-3) Course Prerequisite:  MATH 101 with a C or better, MATH 103 with a C or better, or higher level MATH course with a C or better, or a minimum ALEKS math placement score of 45%.   Elementary algorithmic problem solving, computational models, sequential, iterative and conditional operations, parameterized procedures, array and list structures and basic efficiency analysis.                                                                   "
121  Program Design and Development C/C++ ,"4 (3-3) Course Prerequisite: MATH 108, 171, 172, 182, 201, 202, 206, or 220, each with a C or better, CPT S 111 with a B+ or better, a min ALEKS math placement score of 78%, or by permission with an AP Exam in Cpt S Principles or Cpt Sci A with a 4 or better.  Formulation of problems and top-down design of programs in a modern structured language (C/C++) for their solution on a digital computer.                                                                   "
121 (Effective through Summer 2022)  Program Design and Development C/C++ ,"4 (3-3) Course Prerequisite: MATH 108, 171, 172, 182, 201, 202, 206, or 220, each with a C or better, or a minimum ALEKS math placement score of 80%, or adequate CPT S placement test score determined by the department.  Formulation of problems and top-down design of programs in a modern structured language (C/C++) for their solution on a digital computer.                                                                   "
122  Data Structures C/C++ ,"4 (3-3) Course Prerequisite: CPT S 121 with a C or better.  Advanced programming techniques: data structures, recursion, sorting and searching, and basics of algorithm analysis taught in C/C++ programming language.                                                                   "
131  Program Design and Development Java ,"4 (3-3) Course Prerequisite: MATH 108, 171, 172, 182, 201, 202, 206, or 220, each with a C or better, CPT S 111 with a B+ or better, a min ALEKS math placement score of 78%, or by permission with an AP Exam in Cpt S Principles or Cpt Sci A with a 4 or better.  Formulation of problems and top-down design of programs in a modern structured language for their solution on a digital computer. Taught in Java programming language.                                                                   "
131 (Effective through Summer 2022)  Program Design and Development Java ,"4 (3-3) Course Prerequisite: Course Prerequisite: MATH 108, 171, 172, 182, 201, 202, 206, or 220, each with a C or better, or ALEKS math placement score of 80% or higher, or adequate CPT S placement test score determined by the department.  Formulation of problems and top-down design of programs in a modern structured language for their solution on a digital computer. Taught in Java programming language.                                                                   "
132  Data Structures Java ,"4 (3-3) Course Prerequisite: CPT S 131 with a C or better.  Advanced programming techniques: data structures, recursion, sorting and searching, and basics of algorithm analysis. Taught in Java programming language.                                                                   "
215  Data Analytics Systems and Algorithms ,"3 Course Prerequisite: CPT S 122, CPT S 132, or CS 122.  Exploration of fundamental concepts, constructs, and techniques of modern data analytics systems. (Crosslisted course offered as CPT S 215, CS 215).                                                                   "
223  Advanced Data Structures C/C++ ,"3 Course Prerequisite: CPT S 122 with a C or better; MATH 216 with a C or better or concurrent enrollment.  Advanced data structures, object oriented programming concepts, concurrency, and program design principles taught in C/C++ programming language.                                                                   "
224  Programming Tools ,"2 Course Prerequisite: CPT S 122 with a C or better, or CPT S 132 with a C or better.  Debugging tools, scripting languages, UNIX programming tools.                                                                   "
233  Advanced Data Structures Java ,"3 Course Prerequisite: CPT S 132 with a C or better; MATH 216 with a C or better or concurrent enrollment.  Advanced data structures, object oriented programming concepts, concurrency, and program design principles. Taught in Java programming language.                                                                   "
260  Introduction to Computer Architecture ,"3 Course Prerequisite: CPT S 223 with a C or better or concurrent enrollment, or CPT S 233 with a C or better or concurrent enrollment.   Computer systems architecture; logic, data representation, assembly language, memory organization and trends.                                                                   "
302  Professional Skills in Computing and Engineering ,"3 Course Prerequisite: CPT S 122 or 132, OR CPT S 121 or 131 and E E 261; admitted to a major in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics; junior standing.  Foundation in computing and engineering professional development.  (Crosslisted course offered as CPT S 302, E E 302).  Credit not granted for both CPT S/E E 302 and CPT S 401.                                                                   "
315  Introduction to Data Mining ,"3 Course Prerequisite: CPT S 215, 223, 233, or CS 215, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  The process of automatically extracting valid, useful, and previously unknown information from large repositories. (Crosslisted course offered as CPT S 315, CS 315).  Recommended preparation: prior Python programming.                                                                   "
317  Automata and Formal Languages ,"3 Course Prerequisite: CPT S 122 or 132, with a C or better; MATH 216 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Finite automata, regular sets, pushdown automata, context-free language, Turing machines and the halting problem.                                                                   "
321  Object-Oriented Software Principles ,"3 Course Prerequisite: CPT S 223 or 233, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Object-oriented programming for flexibility, efficiency, and maintainability; logic and UI decoupling; complexity analysis, data structures, and algorithms for industry-quality software.                                                                   "
322 [M]  Software Engineering Principles I ,"3 Course Prerequisite: CPT S 215, 223, or 233, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, Data Analytics, or major in Neuroscience.   Introduction to software engineering; requirements analysis, definition, specification including formal methods; prototyping; design including object and function oriented design.                                                                   "
323  Software Design ,"3 Course Prerequisite: CPT S 223 or 233, with a C or better; CPT S 322 with a C or better or concurrent enrollment; admitted to the major or minor in Cpt Sci, Cpt Engr, E E, Swr Engr, or Data Analytics. Enrollment not allowed if credit earned in CPT S 487.  Practical aspects of software design and implementation using object-oriented, aspect-oriented and procedural programming. Credit not granted for both CPT S 323 and 487.                                                                   "
327  Introduction to Cyber Security ,"3 Course Prerequisite: CPT S 223 or 233 with a C or better; CPT S 260 or E E 234 with a C or better; CPT S 360 or 370 with a C or better or concurrent enrollment; MATH 216 with a C or better.  Security and privacy principles in modern computers and network communications covering various security protection mechanisms, including cryptography, secure communication protocols, and anonymity techniques.                                                                   "
350  Design and Analysis of Algorithms ,"3 Course Prerequisite: CPT S 215, 223, or 233, with a C or better; CPT S 317 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Analysis of data structures and algorithms; computational complexity and design of efficient data-handling procedures.                                                                   "
355  Programming Language Design ,"3 Course Prerequisite: CPT S 223 or 233, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Design concepts of high-level programming languages; survey of existing languages, experience using some languages.                                                                   "
360  Systems Programming C/C++ ,"4 (3-3) Course Prerequisite: CPT S 223 with a C or better; CPT S 260 with a C or better or E E 234 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Implementation of systems programs, concepts of computer operating systems; laboratory experience in using operating system facilities taught in C/C++ programming language.                                                                   "
370  Systems Programming Java ,"4 (3-3) Course Prerequisite: CPT S 233 with a C or better; CPT S 260 with a C or better or E E 234 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Implementation of systems programs, concepts of computer operating systems; laboratory experience in using operating system facilities. Taught in Java programming language.                                                                   "
401  Computers and Society ,"3 Course Prerequisite: CPT S 215, 223, or 233; admitted to the major in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics; junior standing.  Skills and literacy course. Ethical and societal issues related to computers and computer networks; computers as enabling technology; computer crime, software theft, privacy, viruses, worms. Credit not granted for both CPT S 401 and CPT S/E E 302.                                                                   "
411  Introduction to Parallel Computing ,"3 Course Prerequisite: CPT S 215, 223, or 233, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Fundamental principles of parallel computing, parallel programming experience on multicore machines and cluster computers, and design of algorithms and applications in parallel computing. Recommended preparation: CPT S 350.                                                                   "
415  Big Data ,"3 Course Prerequisite: CPT S 215, 223, or 233, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Big data models, databases and query languages, modern distributed database systems and algorithms. (Crosslisted course offered as CPT S 415, CS 415).                                                                   "
421  Software Design Project I ,"3 (1-6) Course Prerequisite: C or better in CPT S 321 and 322; or C or better in CPT S 322 and CPT S 360 or 370; or C or better CPT S 322 and concurrent enrollment in CPT S 360 or 370; admitted major or minor in Cpt S, Cpt Engr, E E, Sftwr Engr, or Data Anlytc.   Large-scale software development including requirements analysis, estimation, design, verification and project management.                                                                   "
422 [M]  Software Engineering Principles II ,"3 Course Prerequisite: CPT S 321 with a C or better or CPT S 323 with a C or better; CPT S 322 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Dependable software systems; software verification and validation, testing; CASE environments; software management and evolution.                                                                   "
423 [CAPS]  Software Design Project II ,"3 (1-6) Course Prerequisite: CPT S 421 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Laboratory/group design project for large-scale software development, requirements analysis, estimation, design, verification techniques.                                                                   "
427  Applied Cyber Security ,"3 Course Prerequisite: CPT S 327 with a C or better.  Wireless protocol security, network packet analysis, incidence response cycles, fault tolerance, security in virtual and cloud environments, and distributed computer security.                                                                   "
427 (Effective through Summer 2022)  Computer Security ,"3 Course Prerequisite: CPT S 360 or 370, with a C or better; MATH 216 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Examines cyber vulnerabilities and attacks against computer systems and networks; includes security protection mechanisms, cryptography, secure communication protocols, information flow enforcement, network monitoring, and anonymity techniques. Credit not granted for both CPT S 427 and CPT S 527. Offered at 400 and 500 level.                                                                   "
428  Advanced Cyber Security ,"3 Course Prerequisite: CPT S 327 with a C or better.  Key aspects of cyber security with an emphasis on software and systems security focusing on concepts, principles, methodologies, and techniques for measuring and defending the various security properties of both operating systems and application software. Credit not granted for both CPT S 428 and CPT S 528. Offered at 400 and 500 level.                                                                   "
430  Numerical Analysis ,"3 Course Prerequisite: MATH 315 with a C or better; one of CPT S 121, 131, or MATH 300, with a C or better.  Fundamentals of numerical computation; finding zeroes of functions, approximation and interpolation; numerical integration (quadrature); numerical solution of ordinary differential equations. (Crosslisted course offered as MATH 448, MATH 548, CPT S 430, CPT S 530). Required preparation must include differential equations and a programming course. Offered at 400 and 500 level.                                                                   "
434  Neural Network Design and Application ,"3 Course Prerequisite: CPT S 121, 131, or E E 221, with a C or better; STAT 360 with a C or better; admitted to the major or minor in Computer Science, Computer Engr, Electrical Engr, Software Engr, Data Analytics, or major in Neuroscience.   Hands-on experience with neural network modeling of nonlinear phenomena; application to classification, forecasting, identification and control. Credit not granted for both CPT S 434 and CPT S 534. Offered at 400 and 500 level.                                                                   "
437  Introduction to Machine Learning ,"3 Course Prerequisite: CPT S 215, 223, or 233, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Topics in machine learning including linear models for regression and classification, generative models, support vector machines and kernel methods, neural networks and deep learning, decision trees, unsupervised learning, and dimension reduction. Recommended preparation: E E 221; linear algebra; multivariate calculus; probability and statistics.                                                                   "
438  Scientific Visualization ,"3 Course Prerequisite: CPT S 223 or 233, with a C or better; CPT S 224 with a C or better; MATH 172 or 182, with a C or better; admitted to the major or minor in Computer Science, Computer Engr, Electrical Engr, Software Engr, or Data Analytics.   Data taxonomy, sampling, plotting, using and extending a visualization package, designing visualization and domain-specific techniques.                                                                   "
439  Critical Infrastructure Security: The Emerging Smart Grid ,"3 Course Prerequisite: Senior standing.  Smart electric grid, communication networks, distributed computing, fault tolerant computing, cyber security, analyzing interdependencies between the smart grid components, smart grid standards and protocols. (Crosslisted course offered as E E 439, CPT S 439).                                                                   "
440  Artificial Intelligence ,"3 Course Prerequisite: CPT S 223 or 233, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, Data Analytics, or major in Neuroscience.   An introduction to the field of artificial intelligence including heuristic search, knowledge representation, deduction, uncertainty reasoning, learning, and symbolic programming languages. Credit not granted for both CPT S 440 and CPT S 540. Offered at 400 and 500 level.                                                                   "
442  Computer Graphics ,"3 Course Prerequisite: CPT S 223 with a C or better; CPT S 224 with a C or better or CPT S 360 with a C or better; MATH 220 with a C or better; admitted major or minor in Computer Science, Computer Engr, Electrical Engr, Software Engr, or Data Analytics.   Raster operations; transformations and viewing; geometric modeling; visibility and shading; color. Credit not granted for both CPT S 442 and CPT S 542. Offered at 400 and 500 level. Cooperative: Open to UI degree-seeking students.                  "
443  Human-Computer Interaction ,"3 Course Prerequisite: CPT S 223 or 233; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, Data Analytics, or major in Neuroscience; junior standing.   Concepts and methodologies of engineering, social and behavioral sciences to address ergonomic, cognitive, social and cultural factors in the design and evaluation of human-computer systems. Credit not granted for both CPT S 443 and CPT S 543. Offered at 400 and 500 level.                                                                   "
